run_dir,agent,mcp_share,mcp_steroid_calls,native_calls,tokens_input,tokens_output,tokens_cache_read,tokens_cache_creation,tokens_total,calls_total,exec_code_calls,exec_code_lines_avg,exec_code_lines_max,native_edit_calls,fetch_resource_calls,retries,errors,apply_patch_called,apply_patch_hunks
run-20260415-145935-dpaia__train__ticket-31-mcp,claude-code,0.057,2,33,30178,814,2524041,130097,2685130,35,2,14.0,17,8,0,0,0,0,0
run-20260415-150741-dpaia__spring__boot__microshop-18-mcp,claude-code,0.013,1,79,35739,2267,8182991,288410,8509407,80,1,15.0,15,6,0,0,0,0,0
run-20260415-152711-dpaia__spring__boot__microshop-2-mcp,claude-code,0.026,1,38,15184,996,1733807,110354,1860341,39,1,15.0,15,8,0,0,0,0,0
run-20260415-153348-dpaia__spring__petclinic-27-mcp,claude-code,0.067,2,28,61,1132,2422019,94196,2517408,30,2,14.5,17,2,0,0,1,0,0
run-20260415-154442-dpaia__spring__petclinic__rest-3-mcp,claude-code,0.043,2,45,28687,1472,4085536,188458,4304153,47,2,14.0,17,11,0,0,1,0,0
run-20260415-155615-dpaia__piggymetrics-6-mcp,claude-code,0.042,1,23,44,424,1410846,98551,1509865,24,1,17.0,17,5,0,0,0,0,0
run-20260415-160245-dpaia__spring__petclinic__microservices--mcp,claude-code,0.071,2,26,13172,957,1755974,115474,1885577,28,2,15.0,19,5,0,0,0,0,0
run-20260415-161007-dpaia__spring__petclinic__rest-37-mcp,claude-code,0.154,2,11,3127,383,753485,64498,821493,13,2,13.5,17,2,0,0,0,0,0
run-20260415-162034-dpaia__spring__petclinic-71-mcp,claude-code,0.037,3,79,12522,2103,10634145,868142,11516912,82,3,15.7,18,21,0,0,1,0,0
run-20260415-192321-dpaia__spring__petclinic__rest-37-mcp,claude-code,0.167,2,10,27,304,710223,67253,777807,12,2,14.0,17,2,0,0,0,0,0
run-20260416-083157-dpaia__spring__petclinic__rest-37-mcp,claude-code,0.091,1,10,3132,366,644855,61370,709723,11,1,17.0,17,2,0,0,0,0,0
run-20260416-084923-dpaia__spring__petclinic__rest-37-mcp,claude-code,0.083,1,11,150,368,673999,66960,741477,12,1,17.0,17,2,0,0,0,0,0
run-20260416-091859-dpaia__spring__petclinic__rest-37-mcp,claude-code,0.2,2,8,35,278,706758,59757,766828,10,2,11.5,17,2,0,0,0,0,0
